Project.clutch.ID,Breeding.year,Common.species,Latin.species,Analyses.breeding.habitat.type,Region.Country,Region.County,county,Region.central.longitude.coordinate,Region.central.latitude.coordinate,Clutch.size,Clutch.no.eggs.Hatched,Clutch.no.eggs.Failed,Clutch.no.eggs.Abandoned,Clutch.no.eggs.Predated,Clutch.no.eggs.Damaged,Clutch.no.eggs.Unknown,Phase.1.failed.only,Phase.2.failed.only,Phase.3.failed.only,NA.and.Unknown.embryo.mortality.data.failed.only,Phase.1.failedandabandoned,Phase.2.failedandabandoned,Phase.3.failedandabandoned,NA.and.Unknown.embryo.mortality.data.failedandabandoned,Hatched,Incubation.type
Headstart.Clutch.43,2023,Eurasian Curlew,Numenius arquata,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,3,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.44,2023,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,2,2,0,0,0,0,0,0,2,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.45,2023,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,2,1,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,1,Headstart
Headstart.Clutch.46,2023,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,3,0,3,0,0,0,0,0,0,3,0,NA,NA,NA,NA,0,Headstart
Headstart.Clutch.47,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.48,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.49,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,3,2,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.50,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,2,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.51,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.52,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.53,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.54,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,3,2,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.55,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.56,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.57,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.58,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,3,Headstart
